snapshot_date,asset_id,asset_type,borough,required_skill,age_years,criticality,condition_score,inspection_trend,incidents_30d,incidents_90d,incidents_365d,downtime_90d,open_work_orders,open_critical_work_orders,overdue_work_orders,days_since_maintenance,repeat_failure_flag,target_corrective_30d
2024-01-31,AST-00001,Third Rail Segment,Bronx,third_rail,34.0,4,47.4,0.0,0,0,0,0.0,0,0,0,26,0,0
2024-01-31,AST-00002,Feeder Cable,Manhattan,cable,1.0,2,88.4,0.0,0,0,0,0.0,0,0,0,999,0,0
2024-01-31,AST-00003,Third Rail Segment,Brooklyn,third_rail,14.0,2,80.5,0.0,0,0,0,0.0,0,0,0,999,0,0
2024-01-31,AST-00004,Feeder Cable,Brooklyn,cable,17.0,4,68.6,0.0,0,0,0,0.0,0,0,0,999,0,0
2024-01-31,AST-00005,Substation,Brooklyn,power,30.0,4,56.6,0.0,0,0,0,0.0,1,0,0,999,0,0
2024-01-31,AST-00006,Third Rail Segment,Bronx,third_rail,4.0,3,89.6,0.0,0,0,0,0.0,0,0,0,999,0,0
2024-01-31,AST-00007,Third Rail Segment,Manhattan,third_rail,16.0,2,76.9,0.0,0,0,0,0.0,0,0,0,999,0,0
2024-01-31,AST-00008,Third Rail Segment,Bronx,third_rail,5.0,2,100.0,0.0,0,0,0,0.0,0,0,0,999,0,0
2024-01-31,AST-00009,Substation,Bronx,power,30.0,2,70.9,0.0,0,0,0,0.0,0,0,0,999,0,0
2024-01-31,AST-00010,Feeder Cable,Queens,cable,24.0,1,71.6,0.0,0,0,0,0.0,0,0,0,999,0,0
2024-01-31,AST-00011,Circuit Breaker House,Brooklyn,breaker,18.0,3,72.0,0.0,0,0,0,0.0,0,0,0,999,0,0
2024-01-31,AST-00012,Third Rail Segment,Brooklyn,third_rail,14.0,4,74.5,0.0,0,0,0,0.0,0,0,0,999,0,0
2024-01-31,AST-00013,Feeder Cable,Brooklyn,cable,5.0,3,92.2,0.0,0,0,0,0.0,0,0,0,999,0,0
2024-01-31,AST-00014,Third Rail Segment,Queens,third_rail,35.0,1,64.8,0.0,0,0,0,0.0,0,0,0,999,0,0
2024-01-31,AST-00015,Feeder Cable,Brooklyn,cable,24.0,3,70.0,0.0,0,0,0,0.0,0,0,0,999,0,0
2024-01-31,AST-00016,Circuit Breaker House,Bronx,breaker,11.0,3,85.0,0.0,0,0,0,0.0,0,0,0,999,0,0
2024-01-31,AST-00017,Feeder Cable,Queens,cable,15.0,5,66.0,0.0,0,0,0,0.0,0,0,0,999,0,1
2024-01-31,AST-00018,Substation,Brooklyn,power,28.0,2,71.7,0.0,0,0,0,0.0,0,0,0,999,0,0
2024-01-31,AST-00019,Third Rail Segment,Queens,third_rail,27.0,3,72.8,0.0,0,0,0,0.0,0,0,0,999,0,0
2024-01-31,AST-00020,Feeder Cable,Brooklyn,cable,17.0,5,79.2,0.0,0,0,0,0.0,0,0,0,999,0,0
2024-01-31,AST-00021,Third Rail Segment,Bronx,third_rail,11.0,4,94.5,0.0,0,0,0,0.0,0,0,0,1,0,0
2024-01-31,AST-00022,Circuit Breaker House,Manhattan,breaker,25.0,4,59.5,0.0,0,0,0,0.0,0,0,0,2,0,0
2024-01-31,AST-00023,Third Rail Segment,Bronx,third_rail,25.0,3,66.7,0.0,0,0,0,0.0,0,0,0,999,0,0
2024-01-31,AST-00024,Third Rail Segment,Queens,third_rail,22.0,4,68.0,0.0,0,0,0,0.0,0,0,0,999,0,0
2024-01-31,AST-00025,Third Rail Segment,Bronx,third_rail,1.0,4,100.0,0.0,0,0,0,0.0,0,0,0,16,0,0
2024-01-31,AST-00026,Circuit Breaker House,Brooklyn,breaker,17.0,2,75.1,0.0,0,0,0,0.0,0,0,0,999,0,1
2024-01-31,AST-00027,Feeder Cable,Bronx,cable,23.0,4,68.9,0.0,0,0,0,0.0,0,0,0,24,0,0
2024-01-31,AST-00028,Substation,Brooklyn,power,37.0,2,62.9,0.0,0,0,0,0.0,0,0,0,999,0,0
2024-01-31,AST-00029,Substation,Queens,power,20.0,4,78.4,0.0,0,0,0,0.0,0,0,0,11,0,0
2024-01-31,AST-00030,Feeder Cable,Manhattan,cable,12.0,3,83.1,0.0,0,0,0,0.0,0,0,0,999,0,0
2024-01-31,AST-00031,Feeder Cable,Brooklyn,cable,21.0,3,81.0,0.0,0,0,0,0.0,0,0,0,999,0,0
2024-01-31,AST-00032,Third Rail Segment,Brooklyn,third_rail,6.0,3,86.4,0.0,0,0,0,0.0,0,0,0,999,0,0
2024-01-31,AST-00033,Circuit Breaker House,Brooklyn,breaker,2.0,3,99.9,0.0,0,0,0,0.0,0,0,0,999,0,0
2024-01-31,AST-00034,Circuit Breaker House,Brooklyn,breaker,26.0,2,62.8,0.0,0,0,0,0.0,0,0,0,999,0,0
2024-01-31,AST-00035,Feeder Cable,Queens,cable,38.0,3,60.9,0.0,0,0,0,0.0,0,0,0,999,0,0
2024-01-31,AST-00036,Circuit Breaker House,Brooklyn,breaker,32.0,2,78.4,0.0,0,0,0,0.0,0,0,0,999,0,0
2024-01-31,AST-00037,Substation,Queens,power,22.0,4,73.1,0.0,0,0,0,0.0,0,0,0,999,0,0
2024-01-31,AST-00038,Feeder Cable,Manhattan,cable,0.0,2,80.8,0.0,0,0,0,0.0,0,0,0,999,0,0
2024-01-31,AST-00039,Circuit Breaker House,Queens,breaker,38.0,4,57.4,0.0,0,0,0,0.0,0,0,0,15,0,0
2024-01-31,AST-00040,Feeder Cable,Queens,cable,16.0,2,91.6,0.0,0,0,0,0.0,0,0,0,999,0,0
2024-01-31,AST-00041,Feeder Cable,Brooklyn,cable,10.0,3,89.6,0.0,0,0,0,0.0,0,0,0,999,0,0
2024-01-31,AST-00042,Third Rail Segment,Queens,third_rail,34.0,3,58.0,0.0,0,0,0,0.0,0,0,0,999,0,0
2024-01-31,AST-00043,Feeder Cable,Bronx,cable,28.0,5,77.4,0.0,0,0,0,0.0,0,0,0,999,0,0
2024-01-31,AST-00044,Circuit Breaker House,Queens,breaker,28.0,4,73.8,0.0,0,0,0,0.0,0,0,0,7,0,0
2024-01-31,AST-00045,Third Rail Segment,Brooklyn,third_rail,10.0,3,91.7,0.0,0,0,0,0.0,0,0,0,999,0,0
2024-01-31,AST-00046,Third Rail Segment,Brooklyn,third_rail,38.0,4,65.0,0.0,0,0,0,0.0,0,0,0,999,0,0
2024-01-31,AST-00047,Circuit Breaker House,Queens,breaker,17.0,1,91.1,0.0,0,0,0,0.0,0,0,0,999,0,0
2024-01-31,AST-00048,Circuit Breaker House,Brooklyn,breaker,20.0,3,78.0,0.0,0,0,0,0.0,0,0,0,999,0,0
2024-01-31,AST-00049,Feeder Cable,Queens,cable,29.0,5,75.0,0.0,0,0,0,0.0,0,0,0,999,0,0
2024-01-31,AST-00050,Substation,Brooklyn,power,25.0,3,69.5,0.0,0,0,0,0.0,0,0,0,999,0,0
2024-01-31,AST-00051,Circuit Breaker House,Queens,breaker,5.0,3,92.2,0.0,0,0,0,0.0,0,0,0,999,0,0
2024-01-31,AST-00052,Substation,Manhattan,power,11.0,4,100.0,0.0,0,0,0,0.0,0,0,0,999,0,0
2024-01-31,AST-00053,Third Rail Segment,Manhattan,third_rail,13.0,4,82.6,0.0,0,0,0,0.0,0,0,0,999,0,0
2024-01-31,AST-00054,Feeder Cable,Bronx,cable,36.0,1,62.6,0.0,0,0,0,0.0,0,0,0,999,0,0
2024-01-31,AST-00055,Feeder Cable,Bronx,cable,27.0,2,64.2,0.0,0,0,0,0.0,0,0,0,999,0,0
2024-01-31,AST-00056,Third Rail Segment,Bronx,third_rail,13.0,3,76.8,0.0,1,1,1,1.4,1,0,0,999,0,0
2024-01-31,AST-00057,Feeder Cable,Bronx,cable,28.0,2,64.3,0.0,0,0,0,0.0,1,0,0,999,0,0
2024-01-31,AST-00058,Feeder Cable,Brooklyn,cable,28.0,5,67.8,0.0,1,1,1,1.4,0,0,0,15,0,0
2024-01-31,AST-00059,Substation,Brooklyn,power,14.0,3,81.7,0.0,0,0,0,0.0,0,0,0,999,0,0
2024-01-31,AST-00060,Substation,Manhattan,power,15.0,1,69.5,0.0,1,1,1,1.0,0,0,0,999,0,0
2024-01-31,AST-00061,Feeder Cable,Brooklyn,cable,34.0,2,57.0,0.0,0,0,0,0.0,0,0,0,999,0,0
2024-01-31,AST-00062,Feeder Cable,Manhattan,cable,21.0,1,81.8,0.0,0,0,0,0.0,0,0,0,999,0,0
2024-01-31,AST-00063,Feeder Cable,Bronx,cable,4.0,3,93.0,0.0,0,0,0,0.0,0,0,0,999,0,0
2024-01-31,AST-00064,Third Rail Segment,Manhattan,third_rail,27.0,3,55.7,0.0,1,1,1,2.5,0,0,0,10,0,0
2024-01-31,AST-00065,Feeder Cable,Manhattan,cable,22.0,3,88.5,0.0,0,0,0,0.0,0,0,0,999,0,0
2024-01-31,AST-00066,Feeder Cable,Manhattan,cable,19.0,4,86.3,0.0,0,0,0,0.0,0,0,0,999,0,0
2024-01-31,AST-00067,Feeder Cable,Manhattan,cable,28.0,4,66.7,0.0,0,0,0,0.0,0,0,0,999,0,1
2024-01-31,AST-00068,Circuit Breaker House,Manhattan,breaker,35.0,3,58.2,0.0,0,0,0,0.0,0,0,0,999,0,0
2024-01-31,AST-00069,Substation,Queens,power,12.0,1,85.3,0.0,0,0,0,0.0,0,0,0,999,0,0
2024-01-31,AST-00070,Feeder Cable,Brooklyn,cable,15.0,4,74.3,0.0,0,0,0,0.0,0,0,0,6,0,0
2024-01-31,AST-00071,Circuit Breaker House,Queens,breaker,6.0,4,100.0,0.0,0,0,0,0.0,0,0,0,999,0,0
2024-01-31,AST-00072,Feeder Cable,Bronx,cable,24.0,4,78.1,0.0,0,0,0,0.0,0,0,0,999,0,0
2024-01-31,AST-00073,Third Rail Segment,Queens,third_rail,15.0,4,83.9,0.0,0,0,0,0.0,0,0,0,999,0,0
2024-01-31,AST-00074,Circuit Breaker House,Queens,breaker,12.0,2,83.3,0.0,0,0,0,0.0,0,0,0,999,0,0
2024-01-31,AST-00075,Substation,Brooklyn,power,26.0,5,69.7,0.0,0,0,0,0.0,0,0,0,999,0,0
2024-01-31,AST-00076,Circuit Breaker House,Manhattan,breaker,15.0,2,88.5,0.0,0,0,0,0.0,0,0,0,999,0,0
2024-01-31,AST-00077,Circuit Breaker House,Brooklyn,breaker,17.0,4,74.2,0.0,0,0,0,0.0,0,0,0,999,0,0
2024-01-31,AST-00078,Feeder Cable,Bronx,cable,16.0,2,68.5,0.0,0,0,0,0.0,0,0,0,999,0,0
2024-01-31,AST-00079,Feeder Cable,Queens,cable,9.0,2,93.7,0.0,0,0,0,0.0,0,0,0,999,0,0
2024-01-31,AST-00080,Third Rail Segment,Brooklyn,third_rail,4.0,5,100.0,0.0,0,0,0,0.0,0,0,0,999,0,0
2024-01-31,AST-00081,Feeder Cable,Brooklyn,cable,32.0,3,62.3,0.0,1,1,1,5.3,0,0,0,10,0,0
2024-01-31,AST-00082,Feeder Cable,Bronx,cable,2.0,4,97.3,0.0,0,0,0,0.0,0,0,0,999,0,0
2024-01-31,AST-00083,Third Rail Segment,Queens,third_rail,11.0,3,92.7,0.0,0,0,0,0.0,0,0,0,999,0,1
2024-01-31,AST-00084,Substation,Queens,power,25.0,3,78.1,0.0,0,0,0,0.0,0,0,0,999,0,0
2024-01-31,AST-00085,Substation,Bronx,power,4.0,5,95.2,0.0,0,0,0,0.0,1,0,0,999,0,0
2024-01-31,AST-00086,Substation,Queens,power,25.0,3,66.4,0.0,0,0,0,0.0,0,0,0,21,0,0
2024-01-31,AST-00087,Feeder Cable,Queens,cable,28.0,1,62.0,0.0,0,0,0,0.0,0,0,0,999,0,0
2024-01-31,AST-00088,Feeder Cable,Manhattan,cable,25.0,2,83.7,0.0,0,0,0,0.0,0,0,0,999,0,0
2024-01-31,AST-00089,Substation,Manhattan,power,11.0,4,71.9,0.0,0,0,0,0.0,0,0,0,999,0,0
2024-01-31,AST-00090,Feeder Cable,Bronx,cable,0.0,4,100.0,0.0,0,0,0,0.0,0,0,0,999,0,0
2024-01-31,AST-00091,Substation,Queens,power,34.0,2,42.7,0.0,0,0,0,0.0,0,0,0,23,0,0
2024-01-31,AST-00092,Feeder Cable,Brooklyn,cable,12.0,2,82.6,0.0,0,0,0,0.0,0,0,0,999,0,0
2024-01-31,AST-00093,Feeder Cable,Queens,cable,31.0,3,55.3,0.0,1,1,1,6.5,0,0,0,22,0,0
2024-01-31,AST-00094,Circuit Breaker House,Manhattan,breaker,6.0,3,77.4,0.0,0,0,0,0.0,0,0,0,21,0,0
2024-01-31,AST-00095,Circuit Breaker House,Queens,breaker,5.0,2,95.8,0.0,0,0,0,0.0,0,0,0,999,0,0
2024-01-31,AST-00096,Feeder Cable,Manhattan,cable,30.0,3,60.5,0.0,0,0,0,0.0,0,0,0,999,0,0
2024-01-31,AST-00097,Circuit Breaker House,Queens,breaker,36.0,2,40.6,0.0,0,0,0,0.0,0,0,0,25,0,0
2024-01-31,AST-00098,Substation,Brooklyn,power,33.0,4,65.1,0.0,0,0,0,0.0,0,0,0,999,0,0
2024-01-31,AST-00099,Substation,Brooklyn,power,29.0,4,80.4,0.0,0,0,0,0.0,0,0,0,999,0,0
2024-01-31,AST-00100,Third Rail Segment,Manhattan,third_rail,8.0,3,100.0,0.0,0,0,0,0.0,0,0,0,999,0,0
2024-01-31,AST-00101,Third Rail Segment,Queens,third_rail,35.0,3,57.7,0.0,0,0,0,0.0,0,0,0,999,0,0
2024-01-31,AST-00102,Feeder Cable,Manhattan,cable,25.0,3,75.0,0.0,0,0,0,0.0,0,0,0,999,0,0
2024-01-31,AST-00103,Circuit Breaker House,Manhattan,breaker,5.0,2,100.0,0.0,0,0,0,0.0,0,0,0,999,0,0
